Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,79,78,63,72,68,68,64,69,58,62,61,58
2002,60,61,65,66,61,59,61,57,60,54,57,55
2003,51,54,54,48,48,52,53,51,55,54,56,56
2004,57,55,53,50,49,54,56,58,51,54,66,62
2005,52,55,54,58,58,56,59,57,62,59,52,57
2006,59,64,67,62,77,77,58,65,60,68,81,67
2007,73,77,69,72,69,56,64,69,58,57,63,71
2008,69,65,64,55,55,55,57,57,56,54,51,44
2009,40,38,50,40,35,37,40,34,36,39,36,38
2010,34,43,37,50,43,44,39,42,49,43,40,44
2011,41,41,57,41,43,46,44,46,41,45,46,43
2012,53,49,46,49,50,44,50,52,51,50,45,61
2013,54,56,53,60,52,53,53,54,49,50,57,55
2014,54,61,66,53,57,56,54,53,56,69,55,56
2015,65,49,60,56,61,64,76,75,68,69,76,76
2016,69,78,64,91,91,94,79,76,82,69,69,68
2017,65,70,72,69,71,70,70,68,70,87,70,75
2018,82,85,98,87,92,84,96,89,99,103,92,89
2019,84,107,75,78,59,76,77,83,68,78,81,93
2020,94,77,57,66,60,74,71,83,86,81,85,85
2021,83,84,95,106,88,82,81,104,99,94,113,108
