Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,24,17,20,22,20,19,20,19,17,26,21,18
2002,19,17,17,20,21,18,19,19,18,16,20,19
2003,19,21,24,17,17,18,19,18,19,21,18,20
2004,19,19,20,18,20,19,19,23,19,18,18,21
2005,21,18,21,23,21,32,19,20,25,21,23,20
2006,21,23,22,21,19,20,20,21,19,20,19,20
2007,24,21,20,22,20,21,24,21,19,21,20,19
2008,21,21,22,22,22,21,20,21,20,20,20,22
2009,16,19,17,20,16,14,17,18,17,15,20,17
2010,16,16,15,15,16,18,15,16,19,15,17,17
2011,15,15,16,16,17,16,16,16,17,16,16,17
2012,17,17,14,16,16,16,18,16,16,17,19,17
2013,16,16,17,20,18,16,17,21,18,15,19,18
2014,21,16,20,18,18,17,17,20,19,18,17,19
2015,18,23,21,18,20,18,23,20,21,21,21,22
2016,23,23,21,24,24,24,24,31,25,20,21,20
2017,22,20,20,20,18,21,21,21,22,21,21,21
2018,20,20,21,23,22,21,21,22,21,23,25,22
2019,29,24,24,24,23,25,27,22,25,25,23,27
2020,19,23,71,79,25,22,26,19,39,18,20,16
2021,20,20,24,36,34,24,29,28,54,24,23,23
