Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,173,120,138,125,130,137,123,116,123,103,97,97
2002,98,109,104,105,106,99,106,98,103,100,89,102
2003,104,98,126,104,93,106,91,87,97,108,105,96
2004,104,97,95,99,88,103,105,113,107,103,156,135
2005,109,134,116,115,123,104,118,136,145,103,112,116
2006,133,107,135,116,118,114,123,108,94,105,120,105
2007,135,122,126,99,121,111,117,101,106,131,116,126
2008,114,101,94,132,100,115,111,111,119,106,100,95
2009,95,105,119,93,87,88,75,84,83,78,68,86
2010,99,96,84,85,89,89,113,102,90,73,103,104
2011,92,87,122,105,115,117,109,91,101,153,104,103
2012,135,121,130,111,133,120,133,125,114,123,127,97
2013,89,87,81,89,104,86,87,84,103,82,81,93
2014,96,134,100,105,93,94,83,90,85,89,106,90
2015,102,89,124,97,98,103,107,100,116,105,89,100
2016,107,100,99,99,108,106,102,114,110,126,119,101
2017,107,120,125,112,118,130,93,122,116,137,100,113
2018,118,119,137,128,145,138,138,154,141,142,158,145
2019,127,143,133,141,140,134,173,139,145,151,137,144
2020,146,128,339,364,85,96,121,95,124,120,122,118
2021,108,121,128,147,121,137,138,148,133,132,143,157
