Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,116,118,129,117,125,147,100,113,123,113,96,101
2002,99,93,88,94,87,85,88,95,91,93,84,82
2003,88,87,75,107,90,74,74,95,78,80,94,84
2004,93,72,94,82,72,90,87,85,84,80,80,84
2005,77,101,83,81,90,89,91,80,86,87,83,86
2006,92,87,83,89,90,92,96,87,90,88,93,97
2007,89,89,100,112,98,84,85,117,79,89,84,81
2008,84,78,77,83,88,99,75,88,83,92,82,81
2009,79,88,87,81,64,70,62,82,80,70,69,70
2010,65,67,71,63,71,72,82,69,70,62,65,78
2011,68,67,72,68,69,86,83,66,72,78,76,69
2012,77,74,73,88,86,80,75,77,77,72,75,81
2013,86,79,73,81,83,75,71,89,79,99,109,83
2014,74,86,85,77,86,87,87,83,78,89,78,76
2015,76,70,95,95,81,94,81,92,92,71,84,89
2016,82,123,92,68,92,89,78,75,91,88,95,87
2017,91,92,85,78,93,96,107,96,108,91,87,97
2018,91,97,94,95,95,96,88,100,80,104,110,106
2019,92,87,88,90,83,101,103,91,91,90,90,96
2020,102,112,352,203,75,72,88,71,67,78,106,89
2021,78,81,89,88,85,119,103,108,107,93,110,109
