Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,44,39,42,45,44,42,36,37,39,44,32,34
2002,37,33,34,33,35,35,32,30,35,31,31,33
2003,36,30,31,32,31,30,37,33,29,31,31,29
2004,32,31,28,31,29,30,28,29,30,30,34,29
2005,31,35,34,34,32,34,35,33,34,33,32,34
2006,32,33,32,34,37,33,36,36,34,36,34,36
2007,36,33,35,36,36,36,39,33,32,36,33,37
2008,32,32,32,35,35,34,30,30,33,30,31,30
2009,32,34,35,30,28,28,27,28,26,28,30,29
2010,27,31,31,30,29,32,38,30,30,25,33,28
2011,30,22,28,26,27,28,28,28,27,29,27,27
2012,24,30,32,29,32,32,29,35,30,26,26,26
2013,28,26,26,27,40,28,39,31,33,30,34,34
2014,33,32,31,37,32,33,31,29,31,36,33,28
2015,31,31,36,35,33,31,30,34,36,32,32,33
2016,35,36,38,35,34,36,36,39,29,40,35,38
2017,37,35,37,36,37,37,38,38,34,40,36,38
2018,40,36,39,37,39,38,38,41,40,44,41,37
2019,34,38,36,37,38,42,38,38,37,39,37,37
2020,41,42,104,48,29,36,42,36,37,38,40,33
2021,36,42,43,29,34,42,45,45,43,42,42,42
