Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,168,137,162,176,163,134,178,164,133,170,178,143
2002,158,141,120,155,130,125,135,117,152,117,110,128
2003,142,125,132,113,143,143,129,112,130,125,126,137
2004,120,138,155,146,121,144,140,156,146,149,147,157
2005,142,184,133,147,163,153,118,172,138,154,143,131
2006,113,148,141,124,171,141,146,147,132,174,129,136
2007,169,131,124,204,179,117,114,144,161,146,167,122
2008,156,181,188,157,140,162,146,164,143,125,117,127
2009,130,113,137,142,131,118,108,102,110,126,158,113
2010,110,118,146,114,113,107,122,95,102,112,99,107
2011,108,110,101,97,107,92,100,99,128,94,106,77
2012,108,116,121,113,159,121,121,120,113,115,134,135
2013,106,97,108,120,111,118,118,129,123,110,83,103
2014,129,125,100,104,107,140,137,102,100,108,84,134
2015,116,114,116,117,120,118,105,122,139,118,140,117
2016,126,141,107,109,134,108,106,155,102,109,106,112
2017,128,117,133,103,94,122,124,128,151,126,115,106
2018,118,126,134,132,145,132,124,145,125,132,114,135
2019,144,141,151,146,130,137,143,134,150,150,171,147
2020,162,136,611,349,153,151,142,135,152,181,187,146
2021,137,144,126,143,155,162,152,150,154,147,159,129
