Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,215,172,247,231,186,200,205,189,158,212,179,183
2002,193,187,197,169,210,206,227,198,203,190,208,201
2003,207,197,168,171,201,176,160,175,173,188,161,181
2004,184,181,194,198,185,187,197,201,196,216,193,205
2005,207,221,238,221,205,222,178,189,198,172,192,177
2006,183,197,180,199,194,175,245,184,183,219,178,210
2007,187,194,176,180,180,169,189,215,191,190,179,157
2008,192,179,176,179,170,189,204,170,180,156,155,219
2009,193,190,179,170,208,183,147,152,169,172,174,161
2010,155,164,188,154,158,167,189,176,167,185,163,174
2011,148,149,149,128,139,153,154,135,139,155,185,171
2012,183,179,164,225,207,171,162,148,173,191,158,152
2013,164,175,210,154,187,168,161,168,167,161,156,176
2014,203,161,164,219,164,163,210,184,175,206,163,202
2015,193,199,194,187,185,200,180,187,200,194,221,199
2016,232,204,208,175,167,191,212,202,198,205,193,212
2017,220,276,201,208,213,229,227,258,249,187,225,163
2018,188,208,256,178,198,214,214,187,217,183,194,196
2019,159,175,202,199,251,204,175,196,185,205,208,224
2020,226,198,703,501,170,231,182,159,151,167,197,228
2021,195,205,196,194,166,182,204,192,187,241,209,163
