Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,35,23,25,28,26,26,23,28,20,33,32,33
2002,40,22,23,29,33,30,29,26,26,31,17,31
2003,53,25,22,30,29,30,31,56,32,32,22,35
2004,40,24,22,22,25,34,25,36,22,29,25,32
2005,34,21,26,29,33,35,32,28,29,30,21,31
2006,26,22,21,21,29,25,25,48,25,24,25,29
2007,31,21,22,34,32,22,34,34,28,27,26,24
2008,28,21,16,26,26,25,24,34,26,36,37,55
2009,51,32,23,28,31,38,31,31,29,30,32,23
2010,26,21,20,25,26,28,31,32,20,28,24,26
2011,34,20,19,26,25,26,28,28,24,29,30,35
2012,34,24,20,34,43,23,22,32,27,28,21,26
2013,28,14,20,26,32,26,29,28,29,33,19,28
2014,28,15,18,21,21,19,18,25,22,25,20,26
2015,29,17,19,18,22,19,18,20,24,24,23,30
2016,21,23,31,17,24,21,30,33,21,28,19,22
2017,20,18,24,19,26,20,25,25,25,22,34,25
2018,37,22,20,21,25,28,22,26,26,20,21,21
2019,27,20,19,26,20,19,21,28,31,17,15,26
2020,21,16,90,85,29,33,16,17,16,15,22,20
2021,27,19,17,18,17,19,26,19,31,22,19,23
