Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,49,37,38,53,45,42,46,54,40,41,29,42
2002,41,32,32,44,37,34,42,52,38,33,30,30
2003,40,34,38,37,39,33,40,43,44,36,33,34
2004,39,33,40,43,42,40,57,60,45,50,39,33
2005,46,34,36,44,50,55,54,63,50,58,33,34
2006,46,35,39,46,54,53,62,68,55,53,43,47
2007,52,41,42,64,54,47,60,60,41,50,31,36
2008,49,36,37,48,42,39,43,45,35,39,27,24
2009,28,19,21,24,25,26,32,30,24,27,19,19
2010,27,21,22,28,29,32,32,39,30,30,22,26
2011,24,23,25,32,39,29,34,38,32,33,27,31
2012,40,29,32,34,33,35,35,37,37,29,25,21
2013,33,29,28,36,32,31,40,39,32,29,27,24
2014,34,26,27,34,36,30,37,38,38,43,33,29
2015,42,30,35,45,39,45,41,54,39,40,29,35
2016,39,33,37,43,44,46,55,51,42,42,30,32
2017,38,32,43,45,51,52,57,57,49,55,42,40
2018,54,41,49,48,61,43,59,51,48,47,38,35
2019,47,45,48,52,54,56,53,64,52,47,45,41
2020,55,42,32,32,32,42,58,60,64,61,43,41
2021,50,49,52,64,55,65,67,69,72,65,68,54
