Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,74,31,40,43,37,32,39,40,32,49,32,32
2002,45,29,26,41,32,42,40,29,28,33,37,32
2003,44,31,25,43,29,36,39,43,26,39,36,52
2004,44,22,30,37,30,31,29,29,43,26,25,31
2005,51,31,27,31,36,42,41,29,31,38,25,25
2006,45,23,45,32,40,53,34,36,26,38,36,34
2007,45,28,34,33,38,62,36,40,40,46,35,41
2008,63,31,42,40,50,67,61,51,39,44,44,50
2009,72,53,47,60,53,47,58,39,45,31,26,35
2010,45,33,29,40,30,51,38,35,31,32,25,29
2011,42,21,34,45,35,35,30,35,32,36,30,32
2012,34,22,23,37,39,36,31,33,30,41,28,26
2013,41,29,35,41,44,40,43,29,28,26,37,30
2014,41,23,34,48,59,35,40,36,36,38,26,48
2015,51,31,30,30,44,44,50,24,31,40,32,71
2016,51,25,27,34,37,32,27,36,21,22,26,26
2017,32,33,32,27,33,43,48,38,39,39,32,85
2018,59,29,29,32,35,47,35,31,21,32,30,37
2019,35,20,27,32,50,32,34,31,37,30,24,27
2020,40,27,191,170,43,43,46,26,27,23,27,25
2021,31,26,26,29,31,20,28,27,15,23,19,24
