Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,79,36,49,67,57,63,67,57,45,55,43,43
2002,76,43,42,64,64,57,61,61,51,50,37,45
2003,70,47,45,59,51,55,62,67,66,62,43,41
2004,60,39,56,70,63,70,75,72,56,53,38,47
2005,76,43,54,60,69,79,64,85,62,70,57,58
2006,68,51,61,76,66,84,78,74,55,64,65,49
2007,73,55,65,71,74,83,95,93,66,69,61,68
2008,72,62,69,73,83,75,73,60,50,48,36,44
2009,47,39,36,46,41,51,49,46,32,32,27,26
2010,40,39,40,37,48,51,41,45,36,31,33,27
2011,39,24,33,41,46,53,54,54,41,40,32,32
2012,37,38,42,55,55,54,53,51,36,44,34,35
2013,49,42,56,64,60,51,61,64,50,54,43,44
2014,48,55,58,61,71,59,71,66,53,59,49,64
2015,76,47,55,54,58,66,57,59,50,61,55,73
2016,76,53,64,66,62,91,79,67,55,59,47,62
2017,84,53,72,77,97,114,92,92,69,77,73,66
2018,64,61,78,89,83,97,102,103,67,81,69,69
2019,91,67,66,88,99,91,100,97,77,76,63,57
2020,84,60,48,50,42,63,85,79,77,68,68,79
2021,72,76,86,111,88,91,114,102,96,84,90,93
