Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,22,14,13,14,16,18,20,17,17,22,23,19
2002,27,12,11,15,14,16,20,22,15,20,15,19
2003,23,13,14,15,17,18,20,26,22,27,14,18
2004,21,15,13,15,19,16,18,21,14,18,15,18
2005,21,14,20,18,16,17,17,18,14,19,14,18
2006,17,15,14,17,16,16,20,19,19,15,24,15
2007,20,14,14,21,16,22,17,18,22,16,15,19
2008,19,12,13,21,16,17,19,18,16,21,20,24
2009,24,19,17,19,17,20,24,20,17,22,17,25
2010,18,12,10,15,17,21,21,18,13,17,13,17
2011,24,15,12,12,19,17,17,20,14,16,14,17
2012,20,10,11,16,14,19,17,18,15,16,17,13
2013,15,9,12,12,19,21,14,14,13,18,10,15
2014,19,10,14,15,13,18,15,17,18,16,14,12
2015,17,10,14,11,13,16,14,12,14,17,13,14
2016,16,11,11,10,15,14,25,17,22,15,13,11
2017,19,10,12,13,18,17,17,17,14,17,16,17
2018,21,11,11,12,17,19,20,17,14,17,15,25
2019,16,11,18,12,17,16,20,16,16,13,13,21
2020,14,12,75,53,12,18,15,12,10,12,14,16
2021,18,12,11,10,10,10,12,12,15,15,11,18
