Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,29,26,24,28,32,30,35,35,28,27,19,19
2002,26,20,19,28,27,26,33,37,29,23,21,17
2003,21,18,20,26,26,29,32,35,24,22,22,19
2004,22,21,21,29,28,28,33,35,25,29,24,24
2005,26,21,22,31,32,31,36,38,30,30,24,21
2006,30,25,23,32,31,33,38,39,28,30,28,27
2007,30,25,24,32,31,30,37,37,24,31,22,23
2008,30,22,20,30,24,25,31,31,21,26,17,16
2009,18,12,17,17,18,17,27,20,16,18,14,15
2010,16,13,14,21,20,20,26,24,20,22,16,15
2011,17,19,15,18,23,21,25,29,21,20,17,14
2012,20,17,17,20,22,23,28,24,20,20,16,14
2013,25,18,16,19,24,24,28,28,21,19,17,22
2014,19,17,18,22,25,29,31,31,24,34,19,21
2015,29,20,25,25,25,30,35,29,24,28,17,20
2016,25,19,21,27,26,32,32,33,26,30,22,22
2017,33,25,27,27,33,41,40,35,26,34,26,23
2018,26,25,29,30,42,40,41,42,32,35,33,26
2019,36,31,35,31,36,37,49,42,32,35,26,30
2020,38,27,24,19,20,33,39,40,33,37,30,32
2021,35,33,33,39,33,43,48,47,43,42,39,39
