Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,335,185,173,206,184,175,247,239,242,298,232,216
2002,261,144,143,224,208,175,208,198,269,245,225,239
2003,290,187,195,211,218,220,255,222,231,246,228,255
2004,313,218,193,190,194,196,224,213,291,226,210,264
2005,294,174,171,183,190,195,199,227,217,214,193,228
2006,338,209,196,252,217,225,258,207,213,257,200,202
2007,257,165,194,192,194,210,224,236,216,244,204,214
2008,273,189,193,203,172,236,221,272,229,295,264,283
2009,342,250,205,307,211,245,358,269,235,251,184,266
2010,288,171,148,182,174,194,232,216,182,197,196,193
2011,181,130,119,120,198,204,216,211,232,170,196,199
2012,238,154,151,168,160,231,198,223,196,190,243,224
2013,268,156,148,212,197,170,200,196,211,191,181,188
2014,273,184,181,187,217,273,196,189,200,214,190,201
2015,220,161,210,197,204,226,223,225,255,192,161,194
2016,244,130,163,185,226,216,137,186,160,171,168,167
2017,231,125,165,157,148,176,162,178,180,173,155,177
2018,226,172,173,151,156,168,159,209,168,174,171,203
2019,228,158,124,236,258,189,258,190,217,194,221,258
2020,252,180,1489,1100,216,298,261,204,187,214,230,322
2021,318,161,88,129,112,125,97,131,116,126,99,128
