Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,68,28,39,47,38,25,40,53,69,58,46,58
2002,71,38,32,54,28,45,42,31,41,40,38,53
2003,52,41,31,46,28,25,34,37,37,41,36,55
2004,43,26,40,63,47,30,41,39,45,47,32,35
2005,40,25,26,43,36,29,25,35,48,39,31,30
2006,43,30,27,57,28,25,21,34,36,32,32,27
2007,32,21,24,46,32,35,34,31,35,64,27,34
2008,46,30,29,30,32,26,37,38,42,45,42,48
2009,59,31,36,48,32,25,48,49,48,42,34,52
2010,51,25,30,58,27,25,28,44,52,48,30,34
2011,34,40,23,36,41,32,26,26,48,34,20,37
2012,28,20,24,45,39,24,21,32,42,35,27,21
2013,45,18,27,42,33,21,28,47,57,37,28,44
2014,51,27,36,41,36,28,30,32,45,34,36,31
2015,34,22,23,50,33,42,27,35,37,34,41,46
2016,53,37,34,66,32,39,44,41,57,43,30,57
2017,33,24,19,35,36,33,22,37,38,32,20,23
2018,39,38,29,64,37,48,34,32,38,28,24,24
2019,35,24,27,48,30,24,29,46,45,45,28,29
2020,35,25,260,257,31,55,42,23,42,26,74,51
2021,44,25,47,27,17,31,46,75,30,36,29,43
