Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,29,26,25,33,28,31,36,39,31,35,21,19
2002,37,19,17,25,23,27,30,30,27,25,15,13
2003,24,18,17,22,19,24,27,27,31,22,16,20
2004,23,18,22,26,24,26,36,35,25,29,25,19
2005,32,18,24,37,25,23,38,35,28,28,21,21
2006,28,22,27,29,31,27,38,39,33,29,22,19
2007,29,22,27,25,30,33,37,36,27,29,23,21
2008,29,24,23,33,28,26,32,31,28,24,14,18
2009,19,11,13,21,17,16,19,22,19,16,12,14
2010,19,15,15,24,14,18,21,23,22,15,15,12
2011,17,10,14,15,18,18,17,24,21,17,11,12
2012,21,14,13,24,17,21,20,24,17,16,12,15
2013,24,13,13,22,18,22,23,25,24,22,13,10
2014,17,14,14,17,17,18,28,25,25,26,19,20
2015,22,13,20,19,18,24,30,39,27,22,19,20
2016,28,23,20,21,24,27,33,38,28,27,24,21
2017,34,28,27,33,28,25,28,33,27,31,24,21
2018,24,19,21,28,25,29,32,38,29,25,17,22
2019,27,18,26,26,29,33,34,41,27,33,23,20
2020,37,24,21,23,17,27,30,33,29,29,23,23
2021,29,19,29,30,23,36,42,46,45,37,42,32
