Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,11,4,4,7,4,6,7,6,7,11,9,7
2002,12,6,6,8,6,6,7,7,7,8,6,7
2003,13,8,5,7,6,6,8,10,9,8,7,8
2004,13,6,5,8,7,5,7,7,7,8,6,8
2005,11,6,5,6,5,7,8,7,7,7,5,9
2006,10,5,6,6,5,6,7,7,7,6,8,7
2007,13,6,5,6,5,6,7,8,10,7,6,7
2008,9,6,4,7,7,8,8,7,7,7,8,10
2009,12,8,6,7,6,6,7,6,8,8,8,7
2010,8,6,4,4,5,6,6,7,6,7,6,6
2011,10,6,5,6,6,5,7,8,8,7,7,7
2012,9,6,5,6,6,6,5,8,8,9,6,7
2013,8,5,4,4,5,6,5,8,12,7,7,7
2014,8,6,5,5,4,5,6,7,10,6,6,7
2015,11,5,5,6,4,5,5,7,9,8,5,7
2016,8,6,5,4,6,5,6,7,6,6,5,6
2017,7,5,5,5,7,6,8,7,7,8,6,7
2018,10,6,5,6,6,5,6,8,7,6,6,7
2019,9,6,5,7,6,5,5,7,10,7,6,6
2020,7,5,32,28,5,6,6,6,5,5,5,5
2021,8,4,6,8,3,4,5,6,6,5,4,6
