Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,20,10,8,14,9,8,14,18,12,13,9,8
2002,13,8,6,10,9,8,12,16,10,9,8,7
2003,13,7,6,10,8,8,10,14,12,12,7,7
2004,11,8,8,12,8,13,14,15,11,12,10,10
2005,11,9,8,10,12,11,13,15,12,12,9,9
2006,15,9,10,11,11,12,16,21,12,11,11,9
2007,14,9,10,13,12,10,14,17,11,12,9,8
2008,14,8,8,9,10,10,11,15,9,10,6,6
2009,8,6,7,9,7,7,9,11,7,7,6,6
2010,8,6,5,6,8,7,10,11,9,8,7,7
2011,8,5,6,9,7,11,10,14,9,8,7,6
2012,8,6,6,8,8,8,10,13,7,8,6,8
2013,9,9,8,9,8,9,9,13,8,9,7,7
2014,10,8,8,9,11,10,10,16,10,11,9,7
2015,11,7,8,9,11,10,12,15,11,9,8,9
2016,14,7,8,10,11,12,13,15,11,10,7,9
2017,15,8,10,11,10,13,16,16,13,13,10,8
2018,13,8,10,13,12,13,17,18,13,13,10,10
2019,16,10,11,13,12,13,21,21,11,15,10,11
2020,16,10,9,9,12,13,14,19,11,15,11,11
2021,15,10,12,14,15,14,16,18,15,17,15,14
