Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,227,155,141,183,176,157,173,185,130,134,102,118
2002,182,102,105,169,148,153,157,181,170,148,117,149
2003,156,144,141,161,167,162,170,155,151,186,126,131
2004,164,130,146,167,141,160,194,187,162,178,143,149
2005,175,137,155,206,181,181,207,249,202,211,143,170
2006,203,205,228,220,240,252,256,267,211,233,174,172
2007,202,177,212,216,216,200,228,246,189,229,159,146
2008,198,168,180,189,167,144,154,156,160,141,103,112
2009,107,81,103,124,113,92,132,132,100,113,72,93
2010,97,94,108,127,120,109,119,130,128,101,85,100
2011,102,105,109,113,119,105,127,145,115,114,93,84
2012,102,93,105,132,125,122,144,140,122,121,85,98
2013,125,116,119,152,112,146,157,148,137,132,111,126
2014,133,135,152,173,156,158,173,193,154,175,140,143
2015,167,150,174,201,214,186,204,247,179,160,142,180
2016,155,134,137,200,183,196,180,204,184,171,124,144
2017,185,180,165,185,179,189,215,192,160,185,153,153
2018,161,139,171,193,190,224,207,229,234,199,157,192
2019,213,176,200,217,242,252,244,250,215,202,206,212
2020,226,193,207,155,142,215,245,220,214,257,194,202
2021,227,202,224,254,256,243,303,298,270,267,285,315
