Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,116,89,74,102,89,92,141,121,94,121,85,63
2002,95,76,65,94,96,92,105,96,81,99,74,73
2003,103,61,66,91,85,73,97,81,70,77,61,78
2004,75,64,64,97,80,86,110,103,76,86,92,78
2005,86,81,92,114,95,101,123,109,94,99,60,82
2006,101,73,84,92,106,108,121,117,98,105,100,95
2007,106,75,84,110,95,95,102,125,74,94,63,90
2008,83,74,84,90,80,91,75,126,79,84,49,42
2009,57,50,58,65,58,63,60,65,45,51,38,50
2010,55,40,50,62,67,59,61,84,66,66,50,59
2011,58,50,54,57,52,62,80,77,85,62,52,45
2012,59,43,60,71,71,68,66,84,68,60,42,51
2013,83,57,56,70,64,69,69,84,63,79,68,57
2014,67,60,70,78,74,100,99,100,93,93,72,76
2015,103,77,119,103,94,101,110,123,99,112,72,91
2016,106,92,91,111,120,125,124,135,126,112,87,93
2017,117,85,105,114,144,122,137,141,142,116,86,91
2018,114,106,134,116,119,120,125,126,115,136,96,103
2019,111,101,111,135,124,117,166,140,100,124,100,117
2020,149,110,76,92,98,91,139,169,128,124,103,128
2021,137,116,124,196,143,192,177,228,185,149,172,157
