Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,21,14,23,21,21,26,21,17,19,25,19,14
2002,20,14,17,24,24,25,25,15,19,19,17,14
2003,19,14,18,23,24,26,22,17,20,19,16,15
2004,37,15,19,23,27,27,24,15,20,23,17,13
2005,19,15,17,23,21,27,23,18,19,20,18,16
2006,23,15,17,22,24,30,21,18,20,20,18,17
2007,30,13,17,22,23,27,20,18,21,20,19,14
2008,21,15,15,20,19,24,20,15,17,17,15,11
2009,13,11,11,16,18,15,13,12,13,14,12,10
2010,12,9,15,19,19,18,18,13,15,16,14,13
2011,12,11,13,22,18,22,23,13,18,15,15,12
2012,17,12,14,18,21,20,20,16,16,17,15,11
2013,15,14,15,27,35,26,19,16,19,16,22,10
2014,16,13,15,19,24,24,21,15,19,21,22,14
2015,17,14,18,23,29,25,24,16,18,22,23,13
2016,17,14,18,20,21,28,22,15,16,19,16,13
2017,17,15,16,22,21,27,24,18,19,18,21,17
2018,19,16,19,25,26,28,23,17,19,23,19,16
2019,21,16,19,26,24,29,28,18,18,24,20,15
2020,20,15,17,15,26,34,26,20,18,23,18,11
2021,17,14,18,25,24,37,30,22,21,23,18,14
