Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,398,266,284,284,331,271,289,282,248,274,243,226
2002,308,279,249,286,255,247,283,304,270,343,277,239
2003,338,322,266,297,291,288,283,292,232,324,301,257
2004,375,342,346,301,289,353,305,339,298,428,312,253
2005,355,309,343,319,306,386,398,361,339,371,322,289
2006,382,361,427,348,412,395,421,389,346,431,380,272
2007,368,282,358,349,358,361,360,377,328,356,322,270
2008,351,300,256,273,262,282,259,268,243,297,251,206
2009,257,245,219,220,214,181,222,266,218,249,219,223
2010,220,185,198,236,237,236,242,282,234,291,286,211
2011,200,199,241,269,274,291,259,259,237,257,296,214
2012,267,240,278,259,272,278,249,244,246,316,263,182
2013,237,246,237,313,260,283,284,297,280,303,332,220
2014,289,288,301,327,340,297,338,331,286,323,331,279
2015,341,283,303,334,345,327,342,401,295,332,278,297
2016,319,293,300,316,311,273,323,323,266,276,288,234
2017,341,320,312,337,324,321,285,383,259,408,307,247
2018,310,249,273,300,313,280,285,358,287,364,321,255
2019,375,318,326,335,331,322,374,398,378,407,374,305
2020,413,354,333,263,519,365,308,348,325,388,354,263
2021,284,321,294,353,381,407,430,471,404,506,462,291
