Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,21,26,19,19,21,21,24,20,20,21,18,16
2002,22,19,19,18,23,22,24,20,24,21,19,20
2003,23,18,16,18,20,20,23,21,20,20,19,19
2004,20,18,19,22,20,21,23,22,21,21,19,17
2005,21,19,20,22,23,25,26,25,24,23,22,20
2006,22,26,20,20,22,26,27,28,22,23,26,20
2007,26,21,20,21,27,26,23,23,22,24,20,16
2008,20,20,19,20,23,22,23,22,18,17,17,16
2009,15,17,16,16,16,17,20,17,16,16,16,15
2010,20,14,15,15,17,20,20,16,18,17,16,14
2011,17,17,17,15,16,20,21,19,21,16,17,13
2012,19,20,15,18,19,18,23,20,15,20,18,17
2013,15,20,18,18,18,19,24,18,19,19,18,14
2014,19,17,18,20,19,23,19,18,22,20,18,16
2015,22,22,18,18,22,23,26,22,23,22,24,19
2016,25,20,19,24,25,27,30,35,27,19,24,16
2017,26,19,19,21,19,23,24,24,23,23,22,20
2018,20,18,20,20,24,24,24,24,21,25,24,21
2019,37,18,20,20,21,22,28,26,25,25,21,19
2020,30,21,18,11,37,32,27,21,17,37,32,20
2021,22,15,19,17,32,31,32,23,21,38,37,25
