Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,73,43,54,65,62,62,60,69,63,54,34,41
2002,56,42,44,68,55,51,65,58,50,57,38,30
2003,49,36,42,52,45,51,53,46,52,49,37,33
2004,46,39,46,57,42,49,62,47,51,58,38,36
2005,45,42,49,64,56,58,57,56,49,50,42,32
2006,51,39,47,65,52,59,71,61,57,62,45,43
2007,55,51,55,56,53,62,63,58,57,58,46,36
2008,63,46,46,55,48,63,52,51,53,57,42,36
2009,44,32,45,45,38,42,36,42,38,42,36,27
2010,34,36,47,47,49,52,53,42,46,48,34,30
2011,37,38,44,50,50,58,47,55,46,46,51,29
2012,47,36,44,40,53,56,47,51,40,44,35,27
2013,38,30,34,43,48,49,44,56,45,41,37,29
2014,40,38,45,52,54,54,49,53,48,45,41,35
2015,47,42,52,57,57,57,45,50,52,52,45,37
2016,47,44,50,46,53,67,56,66,55,52,46,38
2017,61,45,41,45,51,64,62,58,53,55,49,39
2018,54,46,50,53,66,57,53,58,57,59,48,39
2019,48,47,50,63,68,61,56,64,58,55,44,36
2020,52,44,39,39,70,57,53,62,48,52,45,33
2021,51,44,52,51,55,74,64,64,51,57,52,42
