Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,93,65,80,110,94,84,95,103,80,105,70,53
2002,84,66,68,102,85,86,84,79,78,83,69,62
2003,85,65,70,90,79,83,94,77,68,93,66,54
2004,96,72,83,87,78,86,91,97,80,87,80,59
2005,83,73,83,105,82,87,95,98,88,133,96,74
2006,114,86,83,104,106,85,99,107,99,103,72,66
2007,101,80,90,102,97,115,111,100,85,104,73,63
2008,88,75,76,89,77,92,81,94,74,114,68,48
2009,71,65,59,70,62,76,74,70,57,68,50,41
2010,65,51,64,90,62,80,78,69,58,77,50,39
2011,66,60,65,72,76,71,83,88,71,92,55,53
2012,74,66,64,79,81,73,81,77,65,76,50,52
2013,79,70,63,79,76,69,82,99,73,81,64,48
2014,76,56,60,78,72,82,88,85,78,101,75,61
2015,88,64,70,74,82,85,81,97,73,84,58,54
2016,86,71,68,85,79,84,93,82,94,88,64,60
2017,89,76,89,84,97,88,86,91,84,89,71,57
2018,89,81,93,91,86,84,92,98,83,90,66,66
2019,100,87,81,96,86,95,96,100,89,96,84,61
2020,86,74,60,48,96,96,86,102,76,103,84,60
2021,87,72,81,82,101,102,99,107,92,113,90,67
