Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,114,92,105,134,112,153,147,112,142,118,89,73
2002,95,64,100,116,102,128,116,85,104,101,81,69
2003,85,70,89,109,127,173,134,101,145,121,106,110
2004,94,73,107,123,110,146,115,128,150,138,102,74
2005,101,77,89,130,126,173,113,100,129,103,97,68
2006,88,73,91,134,119,153,133,104,134,122,85,71
2007,107,72,84,116,114,124,130,114,93,105,103,83
2008,93,64,86,129,96,101,110,99,100,102,68,68
2009,80,70,76,105,85,114,99,121,93,104,75,49
2010,84,50,72,103,108,107,112,101,91,101,73,62
2011,98,60,82,123,85,122,110,97,98,99,73,60
2012,89,76,80,80,102,128,100,79,92,80,85,53
2013,77,75,72,136,105,104,111,103,97,99,94,73
2014,94,68,76,170,105,127,111,91,135,100,78,72
2015,87,75,112,98,109,106,101,102,109,109,80,93
2016,98,70,88,123,118,149,129,128,148,129,122,96
2017,107,84,87,99,122,136,140,101,102,121,90,71
2018,97,73,97,114,137,147,137,110,133,116,125,82
2019,115,85,101,122,137,182,135,124,151,120,123,94
2020,105,91,105,83,176,251,158,137,133,124,103,75
2021,100,91,144,138,143,197,181,126,163,145,106,91
