Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,205,138,162,188,190,163,198,161,192,182,134,81
2002,138,108,121,174,164,181,153,200,167,190,125,107
2003,152,110,116,142,171,161,131,161,171,149,113,89
2004,141,107,122,185,190,170,156,167,145,137,132,87
2005,159,117,115,205,253,176,168,152,145,150,113,104
2006,109,110,131,194,217,210,162,142,122,157,134,100
2007,130,106,140,173,231,155,124,161,139,142,122,99
2008,117,89,176,179,201,167,132,161,145,159,112,92
2009,106,68,114,130,129,142,104,112,123,122,73,115
2010,100,90,149,162,203,157,182,140,137,118,118,124
2011,126,147,141,166,183,133,168,156,145,162,130,102
2012,153,144,146,156,157,124,143,126,121,104,102,81
2013,121,96,110,133,176,149,120,149,124,110,90,88
2014,105,93,117,150,175,138,128,153,147,152,134,115
2015,131,102,122,178,189,147,146,158,161,176,126,99
2016,224,138,159,156,199,188,168,145,152,163,150,101
2017,144,101,126,153,184,202,166,188,165,169,140,128
2018,173,128,143,150,220,209,160,182,192,180,155,141
2019,140,162,153,194,221,188,165,177,187,165,140,119
2020,145,137,137,131,336,381,230,258,194,195,186,122
2021,148,193,164,204,246,290,239,236,207,206,187,160
