Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,23,16,18,24,30,27,28,21,19,20,15,12
2002,20,12,14,26,25,30,29,23,24,22,16,15
2003,23,15,14,27,28,30,27,24,21,23,15,17
2004,18,16,20,33,27,37,26,22,24,22,16,18
2005,17,16,20,26,31,37,27,27,27,23,21,19
2006,26,19,21,27,29,39,28,27,26,25,21,19
2007,26,15,23,26,31,34,28,26,24,26,18,17
2008,18,16,21,24,34,33,27,27,26,20,16,17
2009,17,14,16,20,27,27,23,20,20,17,16,13
2010,14,12,16,20,26,27,20,17,19,16,14,13
2011,14,12,17,20,26,27,23,23,20,17,15,13
2012,13,12,17,24,29,27,23,22,18,20,16,14
2013,17,16,18,22,28,29,23,20,21,20,15,15
2014,17,15,17,24,28,33,27,20,23,25,17,18
2015,19,17,20,25,33,34,26,23,24,27,21,22
2016,20,15,20,29,34,40,27,23,26,20,20,19
2017,19,16,20,26,31,31,28,26,24,25,20,19
2018,18,16,18,24,32,33,25,26,23,22,19,19
2019,19,14,19,27,32,33,26,27,24,24,18,21
2020,21,18,20,22,58,34,29,25,28,26,18,18
2021,20,17,24,30,38,34,33,28,28,25,21,22
