Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,31,20,22,32,35,39,32,32,29,29,23,23
2002,31,17,21,30,34,34,37,27,23,26,23,23
2003,25,19,19,27,28,33,29,28,25,26,25,26
2004,27,19,22,29,32,33,30,29,30,27,24,22
2005,27,18,24,34,32,37,34,29,36,25,24,20
2006,27,21,25,30,34,35,33,30,29,23,22,21
2007,28,17,21,27,33,36,32,33,28,25,27,22
2008,22,16,23,27,29,31,28,28,25,22,18,17
2009,29,17,18,28,26,28,23,25,21,25,20,16
2010,19,16,22,27,31,29,28,24,23,20,20,17
2011,21,15,19,23,23,28,24,22,21,19,20,18
2012,25,15,18,23,27,32,23,24,24,17,20,18
2013,23,16,18,22,28,28,25,25,21,20,22,17
2014,20,15,15,22,29,31,26,25,30,25,24,26
2015,21,20,21,22,29,27,27,30,23,24,29,22
2016,23,19,20,26,27,30,29,31,25,25,23,22
2017,24,18,23,28,33,34,31,28,26,31,24,22
2018,29,20,20,30,33,36,33,33,20,22,23,19
2019,22,17,22,28,34,36,33,34,23,24,22,21
2020,25,19,21,21,46,53,32,32,23,25,23,21
2021,23,21,30,45,34,43,38,35,29,34,29,24
