Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,41,32,31,38,39,38,36,36,33,38,26,21
2002,37,22,27,36,34,38,41,39,37,35,26,24
2003,38,24,27,39,35,39,36,39,34,42,29,23
2004,35,25,32,40,36,39,33,37,33,34,25,28
2005,34,29,33,47,39,41,38,43,40,43,33,29
2006,42,31,35,39,35,59,40,46,39,36,35,25
2007,32,25,36,37,37,40,35,48,40,38,27,24
2008,28,31,32,35,36,38,36,41,36,40,22,22
2009,29,25,24,27,29,30,32,31,28,24,21,18
2010,27,22,28,30,38,36,27,32,27,26,21,19
2011,24,22,28,28,27,33,31,34,27,23,20,17
2012,28,26,25,30,36,30,33,37,27,39,22,16
2013,25,20,23,34,26,31,36,40,29,28,22,19
2014,28,22,27,30,30,33,35,38,27,37,24,19
2015,28,25,29,30,30,33,36,36,27,38,24,19
2016,26,24,24,32,30,40,33,42,27,28,24,20
2017,32,22,27,36,31,35,31,43,27,28,26,20
2018,27,23,27,35,32,37,34,47,26,32,30,23
2019,30,29,34,46,36,37,42,50,36,40,31,29
2020,39,26,29,30,43,45,35,42,37,39,24,18
2021,30,26,32,40,32,48,48,51,40,38,32,20
