Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,159,126,144,194,182,223,189,140,164,200,135,119
2002,159,104,117,136,134,160,172,124,148,157,132,118
2003,129,84,97,131,133,139,169,127,173,160,136,103
2004,139,107,120,124,157,182,172,115,169,173,132,117
2005,131,123,136,167,164,199,207,150,184,143,121,103
2006,123,103,170,133,163,130,190,158,136,162,128,96
2007,126,86,129,170,158,159,156,153,166,146,121,104
2008,142,102,126,163,145,176,174,145,163,153,80,83
2009,97,89,93,168,113,148,150,101,127,110,95,88
2010,111,83,128,110,105,118,115,107,118,98,102,69
2011,104,88,117,111,93,136,122,94,128,105,87,74
2012,108,94,101,119,126,173,111,114,117,88,93,87
2013,100,76,87,126,134,171,121,102,132,114,97,70
2014,92,76,110,101,125,136,146,105,142,132,108,82
2015,98,144,144,122,143,131,123,123,154,140,116,98
2016,102,87,107,111,119,162,118,122,139,126,98,97
2017,100,84,109,133,136,156,152,112,150,158,103,95
2018,98,94,104,142,161,196,143,135,145,145,122,110
2019,117,119,118,140,176,176,142,146,151,131,118,111
2020,127,108,116,103,280,331,258,197,197,232,170,123
2021,140,138,169,175,143,186,210,159,204,173,135,105
