Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,18,14,16,19,28,23,18,23,20,18,13,11
2002,14,11,13,21,23,21,18,20,15,16,12,12
2003,16,11,11,19,22,20,16,19,15,14,13,10
2004,13,11,13,19,21,23,15,22,16,16,13,11
2005,14,13,15,19,25,22,19,23,18,15,14,12
2006,13,14,16,17,25,23,18,22,16,16,13,12
2007,13,14,17,23,25,24,20,22,20,17,12,11
2008,13,13,14,15,22,22,16,19,15,15,12,10
2009,11,9,11,14,20,17,12,16,13,13,10,8
2010,10,11,13,17,24,20,16,17,14,14,11,9
2011,10,15,13,18,21,23,17,18,15,15,12,10
2012,10,11,14,15,23,23,14,18,13,13,12,9
2013,16,9,12,13,24,18,14,19,16,14,13,10
2014,12,11,12,16,23,19,16,17,15,15,13,11
2015,12,12,16,18,22,24,15,18,16,17,14,12
2016,13,14,17,17,26,23,17,18,15,17,14,10
2017,12,12,15,18,23,25,18,19,16,16,13,12
2018,13,13,16,22,29,23,17,22,17,18,14,13
2019,12,13,15,19,26,21,17,21,17,19,15,11
2020,14,12,13,16,27,23,17,20,17,17,16,13
2021,15,14,16,23,25,24,20,21,20,18,16,15
