Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,5707,4376,5069,5842,5881,5766,5795,5576,5210,5483,4308,3556
2002,4878,3907,4300,5532,5281,5528,5489,5220,5087,5157,4191,3629
2003,5041,3829,4107,5203,5136,5348,5167,4953,4982,5251,4163,3672
2004,4853,3879,4845,5740,5441,5717,5414,5395,5298,5502,4626,3815
2005,5115,4321,4930,5935,5743,6121,5845,5823,5738,5469,4747,3910
2006,5142,4520,5183,5739,5984,6192,6092,5881,5596,5711,4971,3862
2007,5257,4262,5135,5815,5942,6016,5734,5898,5618,5728,4694,3765
2008,4906,4201,4590,5383,5152,5597,5119,5152,4701,4824,3656,3126
2009,3940,3290,3566,4284,4186,4307,4301,4300,4106,4068,3580,2822
2010,3735,3122,3993,4572,4883,4787,4588,4521,4218,4393,3756,3087
2011,3820,3442,4146,4707,4782,5051,4676,4756,4617,4574,3956,3128
2012,4250,3744,4288,4791,5065,5120,4726,4951,4486,4618,4098,3206
2013,4279,3737,4090,4985,5233,5129,4940,5260,4888,4797,4274,3335
2014,4418,3854,4462,5296,5424,5612,5398,5236,5348,5451,4634,3822
2015,4804,4228,4830,5600,5777,5869,5581,5709,5386,5703,4966,4136
2016,4989,4551,5027,5657,5797,6039,5888,5862,5416,5611,4918,3988
2017,5280,4392,5043,5675,6135,6452,5977,6032,5542,5957,5057,4043
2018,5277,4650,5274,5985,6539,6585,6171,6438,5688,6260,5377,4312
2019,5568,4682,5325,6414,6377,6572,6435,6473,6050,6163,5380,4472
2020,5802,4972,4718,4242,8716,8389,6864,6672,6039,6557,5500,4164
2021,5461,4931,5632,6389,6647,7427,7302,7120,6621,6948,6247,4825
