Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,18,11,12,18,14,13,17,15,14,16,13,11
2002,15,10,10,14,13,11,17,18,17,14,12,13
2003,15,10,10,14,13,11,16,15,16,19,11,10
2004,12,9,12,14,14,14,18,19,16,16,12,12
2005,14,12,14,16,15,16,17,21,22,20,17,15
2006,16,14,12,14,16,16,18,18,18,20,17,15
2007,16,13,14,17,17,17,22,22,20,22,14,17
2008,18,16,14,16,18,16,19,18,20,17,12,11
2009,13,10,9,10,9,11,12,12,12,11,10,7
2010,9,8,8,11,10,11,10,12,13,11,9,8
2011,11,8,11,11,13,12,12,15,15,15,10,11
2012,12,9,10,13,15,14,12,15,13,15,11,11
2013,13,10,10,14,13,13,15,17,15,16,12,14
2014,14,10,11,14,14,13,18,19,20,20,13,13
2015,16,13,13,15,15,16,17,20,19,17,14,16
2016,14,12,13,20,17,18,21,21,22,19,16,14
2017,18,12,15,17,17,17,16,23,24,21,17,16
2018,15,12,18,20,20,20,24,27,23,23,18,17
2019,19,20,19,19,22,23,27,28,28,27,20,22
2020,18,17,13,14,11,17,23,25,23,25,17,19
2021,19,18,19,26,18,23,28,38,36,33,26,25
