Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,157,111,113,128,115,115,138,193,126,104,75,84
2002,109,78,81,98,89,93,108,133,102,104,74,68
2003,87,91,72,82,79,97,101,104,110,103,66,75
2004,82,69,82,95,92,102,117,120,105,98,84,83
2005,95,75,98,101,101,96,127,138,111,112,97,80
2006,101,91,104,101,128,97,104,155,105,119,96,109
2007,139,115,134,130,129,137,132,156,132,142,92,104
2008,118,95,88,92,97,106,102,109,128,97,55,77
2009,93,50,52,54,55,68,72,76,93,65,57,54
2010,53,51,50,59,62,75,83,98,64,65,69,88
2011,64,58,74,78,64,79,85,109,94,73,54,70
2012,65,70,82,69,82,74,87,103,83,74,57,77
2013,71,70,77,86,87,82,98,129,106,99,96,93
2014,89,72,72,117,91,130,161,145,161,131,86,63
2015,104,83,103,97,115,101,128,133,87,96,87,100
2016,114,109,104,121,111,125,119,161,112,123,99,107
2017,140,103,122,103,119,157,160,186,140,123,108,123
2018,130,92,110,101,118,146,161,180,144,157,125,117
2019,126,122,108,105,127,115,136,182,121,154,112,113
2020,137,123,101,94,103,113,149,152,130,136,110,140
2021,123,104,136,147,158,165,182,243,197,162,173,145
