Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,80,36,32,44,56,70,42,38,66,46,51,42
2002,33,30,25,35,43,50,42,37,43,44,42,50
2003,50,34,49,44,41,65,36,32,50,52,55,48
2004,44,33,28,35,26,43,40,51,48,45,56,58
2005,37,52,32,33,48,33,48,52,54,39,56,57
2006,41,31,28,35,41,35,44,38,32,38,64,40
2007,69,36,26,29,40,40,47,35,62,60,40,55
2008,57,34,19,49,34,46,48,46,57,50,51,63
2009,65,44,53,42,37,49,34,45,48,37,40,51
2010,85,32,25,35,41,46,68,54,44,34,53,52
2011,56,30,38,58,45,58,45,39,43,65,48,55
2012,87,49,45,44,53,43,61,66,55,59,71,49
2013,43,27,19,40,45,27,28,36,31,25,28,43
2014,50,57,26,38,27,34,23,31,25,25,39,37
2015,43,27,47,31,29,32,38,51,32,26,26,32
2016,46,24,25,24,30,31,36,56,39,29,50,38
2017,50,33,34,32,34,50,27,56,40,58,29,34
2018,53,35,30,38,56,37,40,60,53,49,68,53
2019,55,47,31,43,46,42,61,62,58,49,48,52
2020,73,33,248,296,29,36,31,31,40,42,40,28
2021,41,28,34,26,24,26,28,36,30,22,22,35
