Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,88,52,69,71,68,73,73,84,61,58,44,40
2002,61,45,49,62,58,51,62,70,57,53,45,37
2003,46,37,38,47,48,45,57,64,48,52,50,37
2004,55,40,42,55,60,60,70,77,60,54,96,67
2005,65,50,49,67,66,70,73,102,84,58,55,49
2006,87,52,72,66,69,72,74,87,55,66,54,54
2007,67,62,62,51,73,66,62,83,50,68,64,62
2008,54,46,44,64,58,62,62,77,63,55,42,30
2009,40,37,27,36,38,39,39,47,34,40,23,32
2010,30,42,32,40,36,42,40,61,45,32,35,44
2011,41,34,45,38,59,57,62,70,50,74,43,39
2012,55,45,48,53,71,74,64,82,49,51,45,36
2013,48,41,42,42,53,60,54,62,62,48,42,37
2014,51,51,50,57,58,55,63,72,50,55,53,41
2015,67,43,48,57,63,67,71,71,72,73,50,52
2016,65,58,57,67,75,73,70,75,65,90,50,47
2017,64,60,71,72,80,77,74,89,72,67,53,61
2018,75,56,85,79,88,100,112,126,86,83,70,66
2019,84,61,79,85,89,89,127,104,87,95,69,70
2020,88,63,73,55,53,59,92,85,82,71,62,71
2021,75,63,78,102,92,109,105,130,104,102,101,92
