Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,28,21,14,21,28,23,18,23,31,28,23,25
2002,25,20,14,19,18,18,19,19,22,19,15,24
2003,24,13,14,24,16,17,14,20,20,16,20,28
2004,21,15,14,15,13,17,16,22,20,18,20,22
2005,21,16,16,17,15,16,18,21,21,18,20,22
2006,16,14,13,18,14,18,17,17,27,14,19,27
2007,21,18,14,12,13,14,17,20,26,22,19,24
2008,22,15,12,16,14,18,19,22,28,22,30,32
2009,33,21,23,21,24,25,18,31,28,24,28,37
2010,23,15,15,15,15,20,21,26,21,21,21,39
2011,32,12,15,13,19,20,16,20,24,17,14,18
2012,22,13,16,15,16,23,14,28,22,16,19,16
2013,14,11,14,11,15,9,11,20,29,20,18,22
2014,19,13,12,11,22,15,15,14,17,25,17,16
2015,20,10,20,13,13,25,13,17,32,15,16,18
2016,25,15,13,11,12,14,24,19,14,18,16,31
2017,31,13,19,14,16,18,15,20,21,25,14,21
2018,20,13,13,12,15,20,13,20,24,23,21,24
2019,22,13,11,16,13,25,17,25,17,20,18,24
2020,22,15,108,65,19,22,18,24,22,25,22,13
2021,16,14,11,7,11,13,11,18,23,17,20,18
