Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,78,68,57,75,71,60,70,58,57,58,49,47
2002,62,54,57,64,54,55,58,55,45,50,38,34
2003,59,43,38,49,47,46,51,45,41,51,43,39
2004,64,49,53,63,60,53,62,58,61,63,47,54
2005,62,71,69,72,54,60,73,63,66,63,54,57
2006,66,58,73,83,70,73,72,71,72,79,66,56
2007,79,73,69,84,74,64,69,65,66,67,59,55
2008,67,55,57,63,56,56,53,52,46,58,42,37
2009,40,46,36,37,38,32,34,34,32,33,34,33
2010,46,35,38,51,47,39,50,44,43,49,38,43
2011,47,48,44,49,49,48,71,52,68,55,48,63
2012,68,76,86,69,65,58,57,49,62,49,41,48
2013,56,60,63,64,56,53,48,46,45,50,42,47
2014,50,57,55,63,61,60,58,67,61,68,51,61
2015,70,67,72,79,74,66,83,77,75,80,74,72
2016,81,80,86,84,79,78,82,72,74,68,64,67
2017,68,68,69,86,73,86,91,76,84,82,74,77
2018,78,90,100,94,98,93,98,95,94,95,88,86
2019,91,86,99,107,99,99,98,91,103,107,88,77
2020,95,97,77,74,94,82,106,104,102,107,92,96
2021,106,120,116,137,144,142,147,147,144,162,146,136
