Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,48,48,41,45,41,37,45,42,40,39,30,28
2002,37,33,35,40,36,34,35,31,34,31,27,23
2003,26,26,26,28,29,29,29,30,31,31,27,26
2004,33,30,29,35,33,30,34,33,32,30,24,28
2005,33,33,35,40,34,36,40,36,38,33,30,31
2006,41,32,40,51,41,45,39,42,43,40,37,37
2007,43,39,45,48,39,41,44,42,45,40,33,37
2008,45,38,36,44,41,40,42,41,33,34,27,26
2009,32,26,25,24,20,23,26,23,25,26,20,21
2010,24,21,25,29,28,27,29,29,27,29,26,20
2011,28,25,30,32,29,31,42,30,32,37,24,26
2012,33,25,29,35,32,30,36,31,32,32,26,26
2013,32,30,29,33,32,31,32,32,34,36,27,26
2014,31,34,32,40,40,41,40,48,48,45,33,38
2015,43,45,40,51,47,41,50,48,49,49,40,40
2016,45,48,50,51,45,48,50,48,50,45,43,43
2017,47,49,47,55,50,52,55,54,54,42,42,42
2018,50,55,53,54,57,56,65,63,64,60,52,51
2019,54,60,60,63,58,58,68,71,74,71,58,53
2020,61,59,53,52,43,43,61,62,65,59,55,53
2021,67,68,78,104,78,79,96,106,105,92,77,80
