Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,768,571,540,572,438,466,551,427,435,454,384,320
2002,462,374,385,432,401,402,439,410,370,462,389,335
2003,430,340,324,392,362,391,362,363,333,367,302,312
2004,388,379,375,413,419,366,492,409,440,493,385,427
2005,423,473,485,518,453,499,534,524,488,498,447,463
2006,496,512,573,555,513,512,580,602,545,509,464,424
2007,534,470,521,578,510,537,547,518,502,542,522,452
2008,499,474,481,494,445,365,446,379,323,335,296,248
2009,294,253,265,263,263,274,247,243,260,278,260,259
2010,369,322,349,447,350,297,366,351,332,395,365,320
2011,350,390,384,419,339,377,429,385,422,473,342,336
2012,399,339,387,395,367,385,353,367,391,382,368,338
2013,375,396,454,469,448,437,495,482,468,508,419,387
2014,453,506,458,573,483,521,542,609,515,592,498,466
2015,589,587,590,649,576,553,677,556,583,668,513,525
2016,660,619,662,717,601,600,641,654,684,738,683,577
2017,629,593,616,695,637,684,733,724,671,769,608,642
2018,743,707,726,801,736,734,830,817,791,785,732,675
2019,773,702,757,820,734,815,821,759,770,882,701,678
2020,824,739,630,499,565,625,782,666,680,784,640,568
2021,730,686,798,956,951,1070,1157,1142,1170,1247,1096,1114
