Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,19,22,17,18,14,18,19,15,15,15,16,12
2002,15,16,12,12,18,13,16,15,14,16,14,14
2003,16,15,11,11,14,13,15,14,13,14,13,14
2004,16,15,13,13,16,12,20,16,15,16,14,16
2005,15,18,15,16,16,16,19,19,17,16,17,17
2006,17,21,19,19,19,18,24,23,23,17,21,18
2007,28,23,20,22,26,22,22,22,22,22,21,19
2008,25,20,19,16,22,15,18,15,11,12,11,11
2009,11,12,12,9,10,10,11,9,9,12,10,10
2010,15,13,12,14,13,12,15,13,15,16,16,14
2011,17,19,17,15,16,16,20,16,18,17,17,16
2012,16,20,14,17,17,18,18,18,16,17,17,16
2013,16,22,18,15,17,15,18,16,15,18,16,14
2014,19,18,17,19,19,18,18,21,20,17,17,16
2015,24,21,19,19,18,16,24,20,21,21,19,21
2016,24,24,21,24,22,22,26,32,25,21,23,23
2017,30,24,22,27,22,26,29,28,28,29,26,27
2018,28,27,27,28,25,27,29,30,30,31,31,32
2019,49,31,29,25,27,29,34,31,32,31,28,27
2020,38,27,21,14,21,20,26,20,19,33,32,30
2021,29,24,25,25,38,35,49,35,31,59,56,60
