Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,25,21,23,29,22,24,24,18,18,21,16,13
2002,16,13,15,22,19,19,20,19,15,20,14,13
2003,15,14,13,20,18,21,18,16,15,16,13,12
2004,13,15,17,20,24,20,23,18,19,19,16,17
2005,17,19,20,26,22,26,24,22,23,22,20,20
2006,21,22,27,33,28,25,26,26,25,27,24,21
2007,25,24,28,38,31,33,28,30,32,29,28,23
2008,29,25,24,26,32,23,25,20,19,21,15,13
2009,15,15,14,15,16,15,13,12,14,15,12,11
2010,14,14,15,22,19,19,20,16,15,20,16,14
2011,12,16,17,23,18,23,20,17,21,20,16,15
2012,19,15,19,23,23,24,20,18,19,19,19,17
2013,17,20,24,29,25,23,22,21,21,24,18,17
2014,26,25,22,35,29,31,32,30,29,32,22,20
2015,31,28,31,37,30,29,37,26,30,29,22,24
2016,26,26,33,45,37,37,38,31,31,31,29,25
2017,33,29,31,38,34,37,33,34,33,36,30,28
2018,32,34,32,43,41,42,43,38,39,41,33,35
2019,37,38,40,41,41,43,52,37,41,41,34,36
2020,37,38,35,42,37,36,41,34,34,39,36,38
2021,41,42,55,78,60,66,72,58,52,62,54,62
