Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,86,74,61,83,64,59,80,64,60,71,48,45
2002,72,48,53,74,51,58,58,57,50,68,51,46
2003,59,54,54,69,55,56,66,49,52,63,50,47
2004,65,59,51,81,55,56,70,62,51,71,56,59
2005,73,58,67,91,57,59,77,72,55,93,85,76
2006,77,64,81,103,80,71,82,77,80,84,71,68
2007,87,74,87,97,76,83,85,76,72,76,63,68
2008,70,62,59,74,61,55,63,62,44,70,48,47
2009,51,44,36,42,43,36,41,35,39,41,30,34
2010,42,34,38,41,37,32,51,37,39,58,37,37
2011,50,42,46,55,48,40,57,51,56,59,45,46
2012,65,50,50,59,54,58,52,52,47,62,45,49
2013,63,53,55,58,58,51,52,63,53,68,50,46
2014,58,58,59,67,58,67,75,76,73,82,62,60
2015,86,72,69,110,85,77,96,86,66,96,76,73
2016,92,85,86,84,81,64,83,71,75,73,64,66
2017,86,78,77,87,68,68,82,69,70,72,71,65
2018,82,73,87,92,77,87,100,87,80,90,76,78
2019,95,83,94,102,86,86,101,102,98,101,82,74
2020,96,95,73,70,77,77,100,104,91,110,85,76
2021,109,102,108,119,106,124,145,146,136,165,116,130
