Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,168,141,110,135,137,123,142,120,113,129,95,81
2002,101,83,92,107,114,87,123,108,98,104,84,71
2003,102,85,82,95,92,83,94,103,85,95,83,69
2004,94,80,77,132,99,83,106,91,100,100,75,92
2005,102,90,94,120,110,108,120,110,114,114,113,92
2006,110,103,100,137,123,126,113,137,114,130,103,111
2007,115,98,107,110,96,106,105,99,96,125,102,84
2008,94,91,99,114,124,90,91,94,91,77,85,59
2009,65,87,52,71,62,49,56,66,62,60,60,44
2010,61,64,60,88,75,63,98,85,92,91,79,68
2011,93,92,94,101,100,100,117,106,114,122,97,89
2012,118,109,128,128,114,115,120,115,120,109,121,117
2013,104,109,109,120,118,118,120,115,120,132,113,107
2014,94,107,111,128,126,120,138,145,151,160,133,121
2015,164,157,132,161,155,148,177,176,178,186,159,135
2016,147,161,156,181,168,179,199,181,176,198,201,165
2017,178,185,191,198,193,205,189,243,219,235,223,204
2018,207,209,213,222,235,211,230,262,243,252,218,215
2019,209,195,235,226,229,218,209,223,217,262,214,180
2020,205,206,146,105,145,218,240,242,211,205,201,189
2021,236,241,272,340,426,444,401,390,362,395,325,299
