Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,93,93,106,108,102,103,123,100,85,79,70,61
2002,80,60,77,71,59,64,76,68,62,70,52,52
2003,64,61,55,63,62,57,63,63,55,79,57,51
2004,70,72,64,73,65,58,69,63,66,74,51,59
2005,74,74,68,84,70,70,82,75,79,80,54,52
2006,77,75,86,109,72,77,88,97,94,74,76,66
2007,92,74,90,86,77,93,90,80,89,78,67,76
2008,93,87,86,89,89,78,84,82,67,65,42,46
2009,49,56,42,59,52,44,53,44,43,52,46,34
2010,48,54,49,65,56,56,56,55,45,60,53,42
2011,64,74,72,79,65,67,90,70,69,74,56,50
2012,68,68,82,71,73,76,84,71,70,82,67,69
2013,72,80,71,89,71,84,81,90,89,98,79,62
2014,82,70,96,96,87,85,96,117,88,94,70,78
2015,115,100,106,120,106,114,126,117,115,105,105,104
2016,118,125,133,103,93,107,117,117,115,109,110,103
2017,107,120,118,132,109,126,134,133,139,144,117,120
2018,131,134,161,165,156,150,162,155,166,169,169,147
2019,146,151,155,181,159,167,189,141,141,135,116,95
2020,114,122,112,99,96,118,153,120,113,131,120,118
2021,126,137,165,190,162,173,216,213,202,245,213,218
