Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,46,27,28,38,33,32,33,29,28,31,25,20
2002,28,22,26,27,22,22,24,21,20,23,19,16
2003,34,19,19,25,23,21,32,25,20,26,21,18
2004,25,22,23,26,23,21,26,21,25,23,22,24
2005,28,23,25,27,25,23,28,24,26,28,22,21
2006,29,23,26,31,25,25,25,27,29,29,23,24
2007,29,24,26,31,24,26,30,28,30,32,25,27
2008,30,26,29,28,27,24,27,28,24,24,20,20
2009,17,20,19,17,18,15,15,16,17,20,18,16
2010,21,17,16,21,19,17,21,18,19,19,18,17
2011,21,23,23,27,26,26,30,29,27,30,25,24
2012,33,27,31,26,26,23,28,25,27,27,25,27
2013,21,25,26,25,26,26,35,39,36,36,30,24
2014,33,27,32,41,33,32,38,38,38,40,32,34
2015,36,40,38,39,37,33,40,40,45,46,37,38
2016,36,41,46,43,43,36,46,44,40,44,37,38
2017,38,42,42,47,41,43,44,51,55,53,45,43
2018,53,48,51,52,53,47,58,50,54,59,56,47
2019,52,48,50,50,52,48,54,49,51,56,46,41
2020,49,48,42,40,32,36,55,43,48,52,51,45
2021,50,53,60,70,56,55,75,67,73,80,72,70
