Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,171,150,137,142,128,122,139,125,105,100,81,86
2002,103,96,99,110,92,84,100,98,85,96,75,71
2003,107,95,80,98,112,120,111,94,102,108,93,88
2004,104,103,111,130,102,103,120,111,121,125,108,114
2005,128,120,124,151,123,118,135,132,137,124,105,106
2006,127,105,136,169,137,127,152,136,146,154,123,136
2007,132,122,136,166,132,134,155,132,133,160,133,119
2008,150,131,137,150,148,135,132,121,114,119,108,91
2009,86,93,80,82,94,64,56,53,58,72,63,58
2010,77,64,62,100,98,68,82,74,75,86,72,60
2011,73,83,92,99,74,94,108,97,101,138,95,97
2012,102,92,111,118,114,114,139,123,123,116,91,95
2013,131,114,127,159,141,155,137,132,135,134,113,118
2014,128,120,137,142,145,135,132,157,137,162,131,132
2015,160,150,163,194,187,142,194,182,209,207,158,172
2016,224,189,204,192,174,182,204,164,202,181,157,151
2017,175,181,189,224,198,231,239,202,206,235,203,179
2018,212,208,215,263,257,248,229,246,244,271,274,247
2019,281,279,296,306,280,265,283,294,282,345,249,226
2020,225,217,175,168,178,200,229,206,230,264,198,212
2021,289,275,301,333,283,363,372,366,333,365,336,385
