Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,72,64,54,75,59,58,75,57,60,59,45,39
2002,51,40,39,60,51,41,48,46,42,46,36,28
2003,54,35,32,41,39,40,47,36,38,45,34,36
2004,50,41,41,60,46,41,49,45,45,46,39,45
2005,55,48,50,64,52,50,69,55,52,55,48,52
2006,60,49,61,67,61,63,66,61,53,62,51,56
2007,64,55,60,68,60,59,65,55,55,61,58,51
2008,58,51,53,57,58,49,56,51,45,50,42,41
2009,41,36,30,30,28,31,31,29,34,32,28,27
2010,35,28,29,36,31,31,37,39,39,42,29,30
2011,37,32,39,42,47,39,50,51,45,51,40,45
2012,53,49,53,54,57,55,69,56,57,56,43,48
2013,52,63,54,61,68,48,49,48,50,64,57,45
2014,58,61,56,68,70,65,70,73,68,72,70,70
2015,64,64,63,87,70,65,82,65,64,72,61,61
2016,81,63,59,63,54,59,63,61,65,61,61,58
2017,65,61,59,73,59,73,75,70,73,67,59,59
2018,73,64,67,79,71,83,89,84,87,85,69,76
2019,78,71,87,86,90,81,87,85,87,93,67,64
2020,85,75,72,84,78,74,91,87,77,88,71,72
2021,89,86,102,137,104,118,119,106,128,133,104,113
