Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,66,58,57,58,51,55,57,47,44,45,38,30
2002,50,35,34,42,38,40,42,54,46,44,35,26
2003,56,32,34,38,40,39,38,44,43,41,31,34
2004,52,41,43,44,59,42,62,47,58,53,38,44
2005,54,46,50,56,46,55,64,61,67,56,51,46
2006,52,55,59,62,56,50,59,64,68,64,56,49
2007,82,59,62,71,74,75,71,72,78,72,70,49
2008,63,54,57,51,59,45,54,45,52,53,34,29
2009,38,34,35,36,41,39,35,35,44,36,30,28
2010,36,38,34,46,37,34,41,43,38,41,39,32
2011,33,37,37,46,41,44,47,43,56,47,36,35
2012,39,36,42,49,57,50,47,39,43,43,38,36
2013,49,43,54,55,53,41,53,50,54,54,48,39
2014,61,56,55,65,57,55,70,68,68,67,54,58
2015,65,64,64,78,62,67,84,66,75,82,69,58
2016,69,68,75,93,84,71,92,81,81,75,72,59
2017,69,69,67,87,72,91,106,93,96,98,78,70
2018,88,79,78,85,88,94,112,107,112,113,91,89
2019,108,86,97,101,94,109,111,101,110,116,88,105
2020,109,109,92,75,66,80,106,102,106,102,99,79
2021,107,110,122,127,126,144,195,159,149,152,125,139
