Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,15,13,13,14,19,16,15,17,15,13,11,8
2002,11,9,11,12,13,11,13,12,9,11,9,8
2003,11,9,9,11,12,11,11,13,8,10,9,8
2004,10,10,9,13,13,11,12,12,12,11,8,10
2005,10,11,12,13,13,13,12,16,13,12,10,10
2006,11,12,14,14,14,14,12,16,13,12,10,11
2007,10,12,12,18,13,14,15,14,13,13,10,11
2008,11,11,12,11,14,13,11,13,10,10,8,9
2009,7,8,7,8,10,8,8,8,9,8,7,6
2010,9,8,8,10,10,10,10,11,8,8,8,7
2011,8,10,9,10,13,13,11,13,11,12,10,10
2012,9,11,13,13,15,14,12,14,13,13,11,11
2013,15,11,12,12,15,15,12,15,14,16,12,10
2014,12,11,12,13,17,16,16,18,14,14,12,13
2015,13,17,17,17,18,18,19,20,18,18,15,15
2016,15,17,18,19,21,20,20,20,17,17,16,14
2017,13,16,20,22,21,22,19,24,21,20,18,18
2018,19,20,28,23,31,25,22,25,23,23,20,22
2019,18,21,21,23,29,25,24,25,21,23,19,17
2020,19,20,16,17,15,16,21,20,22,24,20,20
2021,21,22,26,36,26,26,30,30,33,36,29,31
