Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,121,97,87,95,86,82,94,89,83,81,65,60
2002,78,60,65,84,68,64,70,63,67,82,60,50
2003,69,55,63,76,64,68,67,70,67,73,64,52
2004,70,59,62,71,67,58,77,71,67,72,59,75
2005,81,70,72,98,81,81,112,82,81,74,73,82
2006,94,84,103,117,92,103,106,100,104,114,98,101
2007,115,90,92,119,100,90,89,93,93,80,75,70
2008,94,70,79,81,71,75,70,77,66,75,60,50
2009,53,44,38,47,48,41,47,50,42,48,43,37
2010,57,49,42,62,56,54,66,60,60,73,47,46
2011,62,76,67,87,78,64,78,67,79,74,68,79
2012,106,83,108,90,82,88,86,81,93,88,70,72
2013,92,80,88,85,92,87,83,86,94,95,70,73
2014,81,92,94,88,97,94,90,108,89,99,102,80
2015,109,99,97,117,112,120,151,129,116,125,110,95
2016,120,108,131,115,133,121,133,117,102,103,98,115
2017,108,124,110,129,120,139,142,138,127,124,138,119
2018,134,122,131,168,130,154,174,163,162,169,145,152
2019,156,128,138,146,137,137,142,162,162,147,131,106
2020,137,153,140,114,138,145,157,149,143,147,135,129
2021,151,149,191,213,206,215,239,240,227,249,220,207
