Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,372,388,345,324,340,302,333,248,256,276,278,230
2002,292,230,250,246,278,240,247,252,238,258,231,166
2003,225,213,192,267,232,221,237,209,188,242,214,225
2004,283,227,247,290,277,242,306,229,252,290,199,217
2005,259,233,252,293,225,254,303,288,308,305,273,237
2006,326,317,329,345,321,376,357,371,339,394,359,316
2007,375,388,475,453,450,392,435,460,460,461,407,372
2008,460,417,403,460,450,367,408,345,309,309,231,228
2009,241,222,204,186,190,172,172,193,195,195,177,178
2010,209,200,195,230,187,175,208,215,210,267,231,214
2011,265,253,246,257,245,272,292,256,311,348,312,312
2012,398,318,368,405,365,340,347,341,345,386,327,306
2013,358,394,364,386,385,342,371,361,343,374,320,357
2014,372,392,392,436,408,441,473,508,448,483,429,410
2015,479,436,417,526,454,463,587,550,497,617,507,476
2016,537,558,610,580,522,493,581,506,513,501,484,470
2017,443,445,471,531,429,465,519,490,521,509,412,377
2018,479,472,484,520,483,568,656,539,562,603,584,540
2019,599,582,582,668,578,564,652,618,563,567,510,428
2020,513,522,404,344,378,448,508,539,622,620,548,486
2021,551,582,697,835,822,928,1006,936,848,950,843,816
