Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,5592,4844,4514,5095,4544,4319,4896,4105,3941,4002,3372,3020
2002,3983,3222,3403,3935,3544,3355,3770,3593,3215,3767,3126,2584
2003,3661,3026,2913,3570,3355,3328,3366,3264,3030,3568,2970,2840
2004,3598,3330,3353,3992,3766,3268,4191,3630,3784,4171,3119,3485
2005,3929,3749,3902,4695,3844,3974,4630,4245,4339,4392,3889,3737
2006,4488,4103,4606,5324,4504,4536,4735,4840,4749,4795,4298,4058
2007,4827,4455,4843,5205,4701,4773,4907,4688,4666,4830,4317,4033
2008,4682,4074,4137,4457,4253,3757,4013,3808,3242,3578,2959,2700
2009,2792,2688,2482,2592,2586,2435,2412,2453,2494,2643,2258,2157
2010,2877,2518,2653,3460,3043,2727,3264,3110,2937,3515,2956,2616
2011,3098,3086,3236,3580,3226,3374,3807,3445,3794,3945,3291,3274
2012,3864,3476,3953,4196,3890,3804,3932,3937,3912,4128,3575,3404
2013,3839,3843,4051,4421,4197,4055,4097,4214,4175,4606,3768,3520
2014,4026,4216,4329,5070,4805,4882,5117,5484,4976,5412,4463,4467
2015,5244,5268,5159,6172,5612,5142,6391,5623,5577,6206,5272,5134
2016,5894,5549,6058,6362,5773,5624,6407,5854,5962,5972,5536,5287
2017,5529,5670,5742,6647,5839,6219,6658,6467,6439,6683,5832,5683
2018,6521,6291,6760,7441,7015,7176,7625,7414,7472,7607,7108,6759
2019,7427,6748,7279,7754,7320,7126,7486,7355,7216,7634,6446,6060
2020,7125,6682,5731,5166,5403,5991,7229,6589,6630,7346,6357,6204
2021,7207,7472,8286,9804,9641,9834,11604,10924,10747,11596,10300,10353
