Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,15,11,11,12,16,12,13,13,10,10,8,10
2002,12,8,8,9,10,9,10,11,8,10,9,9
2003,13,7,7,10,11,9,9,11,8,9,8,10
2004,9,8,9,11,10,9,9,10,10,12,11,12
2005,11,9,9,9,11,11,11,12,10,11,9,12
2006,18,10,10,11,12,12,10,13,11,12,10,13
2007,12,12,11,11,12,13,13,13,10,12,10,12
2008,15,10,9,10,13,10,11,12,8,11,8,9
2009,7,8,6,7,9,8,7,8,7,8,6,7
2010,7,8,7,11,8,7,12,9,7,11,7,9
2011,9,9,7,10,10,9,9,9,8,10,8,10
2012,8,9,9,13,11,10,10,11,8,10,10,10
2013,9,9,10,9,11,10,10,12,9,10,9,12
2014,9,10,9,13,12,13,11,13,10,12,11,14
2015,13,12,10,13,15,12,17,14,12,14,13,17
2016,15,13,12,14,14,14,16,14,13,13,13,16
2017,12,13,14,17,15,15,22,16,13,14,14,19
2018,13,15,14,15,16,18,25,17,15,17,16,19
2019,16,13,14,14,18,17,21,17,14,16,15,17
2020,16,13,12,14,13,13,13,14,15,16,13,17
2021,15,14,17,26,25,23,23,24,24,24,22,28
