Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,125,92,94,116,100,99,99,81,81,85,72,59
2002,82,61,72,77,69,62,75,85,65,70,70,57
2003,85,66,53,83,68,69,64,76,61,75,54,52
2004,66,63,69,87,93,64,80,81,81,90,76,72
2005,78,73,75,95,86,73,86,88,96,98,90,81
2006,89,83,104,139,93,94,100,100,115,116,109,82
2007,125,117,125,134,124,122,130,134,127,113,107,90
2008,126,99,102,114,121,99,99,95,71,90,73,49
2009,57,47,50,61,55,52,46,46,46,58,44,38
2010,50,48,52,71,65,52,64,55,52,73,60,44
2011,48,51,74,66,62,70,82,62,86,84,68,64
2012,79,74,91,96,102,99,89,81,101,105,84,76
2013,80,92,95,91,86,74,85,82,81,96,74,71
2014,78,83,89,102,105,112,121,119,93,97,74,76
2015,122,126,128,163,149,118,170,139,155,151,110,151
2016,165,136,166,177,148,143,154,143,133,145,111,109
2017,119,104,121,155,131,138,163,132,145,149,113,108
2018,158,118,143,183,149,181,189,164,169,159,135,126
2019,158,140,155,209,156,170,201,177,160,146,138,134
2020,203,137,122,116,109,136,145,132,123,130,128,118
2021,174,147,181,204,183,248,269,214,220,226,205,185
