Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,28,27,26,26,28,26,28,23,24,23,21,20
2002,49,19,21,23,41,22,22,20,18,20,18,16
2003,22,16,20,21,21,21,22,18,18,19,20,20
2004,25,19,21,25,24,21,23,20,22,23,17,22
2005,23,20,22,26,24,24,29,23,25,21,22,24
2006,38,23,28,32,30,28,26,27,27,25,24,25
2007,31,24,29,33,29,28,26,25,30,29,26,28
2008,26,26,26,33,29,26,27,21,22,24,20,19
2009,16,17,17,15,16,16,16,15,16,17,15,16
2010,16,16,18,20,18,17,22,17,20,21,18,17
2011,18,18,20,25,24,21,25,21,25,25,22,22
2012,27,22,26,28,26,22,23,22,23,22,20,20
2013,22,20,23,28,28,24,23,27,29,25,20,21
2014,22,24,25,30,27,29,26,28,30,27,20,22
2015,25,25,26,32,28,27,31,30,33,30,27,25
2016,25,25,34,33,30,30,32,32,33,29,28,29
2017,27,27,30,42,29,34,50,37,40,32,28,29
2018,28,30,36,39,39,42,42,40,52,38,36,36
2019,38,34,43,45,42,39,39,40,52,44,36,34
2020,44,38,40,38,37,41,50,47,54,47,40,41
2021,49,44,53,55,57,62,72,55,71,58,47,50
