Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.8,5.7,4.8,6.0,6.7,6.3,6.6,4.2,3.5,3.9,3.0,3.1
2002,3.8,4.5,3.8,4.6,5.7,5.2,4.3,4.0,2.9,3.3,2.9,2.9
2003,4.7,3.5,2.8,4.5,5.6,5.5,3.9,3.4,2.8,2.6,2.5,2.7
2004,3.8,3.6,3.5,3.8,6.4,4.9,4.9,3.7,3.3,3.2,2.8,3.3
2005,3.7,3.6,3.9,4.9,6.2,6.2,4.9,4.2,3.9,3.7,3.2,3.3
2006,5.5,4.1,4.5,5.7,6.4,6.2,4.3,4.4,3.9,3.7,3.7,3.7
2007,4.8,5.0,4.3,6.0,7.2,7.6,5.4,5.0,4.3,4.0,3.8,3.5
2008,5.2,4.7,4.1,4.4,7.7,5.7,4.7,3.5,2.7,2.9,2.5,2.5
2009,3.4,3.0,2.7,2.8,4.1,4.4,2.6,2.7,2.4,2.8,2.3,2.6
2010,3.3,3.3,2.9,3.9,4.8,4.7,4.3,3.1,2.9,3.3,2.9,2.8
2011,2.9,3.4,3.4,3.9,5.4,5.2,4.4,3.2,3.3,3.3,2.4,2.8
2012,3.7,3.3,3.4,3.8,4.9,4.7,3.6,3.3,2.9,2.8,2.7,3.0
2013,3.7,4.1,3.8,4.3,5.7,5.2,3.8,3.9,2.9,3.2,2.8,2.7
2014,4.7,4.5,3.9,5.3,6.8,6.4,4.7,4.5,3.5,3.8,3.6,3.6
2015,4.9,5.0,4.4,5.4,7.5,5.9,6.0,4.3,3.9,4.0,3.8,4.2
2016,5.1,4.8,4.5,6.2,8.1,7.4,5.5,4.7,4.1,4.2,4.1,4.0
2017,5.4,4.8,4.1,5.4,7.7,7.3,6.7,4.9,4.2,5.1,3.9,4.2
2018,5.4,5.8,5.6,5.9,9.0,9.1,7.4,6.1,5.0,5.0,4.9,5.5
2019,6.2,6.7,6.1,7.0,9.8,8.9,7.3,6.0,5.0,5.2,4.5,5.1
2020,6.4,6.4,5.2,4.9,5.7,6.1,7.0,5.9,5.4,5.1,4.6,5.4
2021,6.9,7.6,7.3,7.7,8.8,9.7,11.0,8.4,7.7,7.2,7.0,8.8
