Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.3,3.7,3.9,4.8,3.8,3.9,4.0,3.0,3.0,3.5,2.8,2.2
2002,2.9,2.4,2.6,3.7,3.3,3.1,3.4,3.2,2.6,3.4,2.4,2.2
2003,2.7,2.4,2.3,3.4,3.1,3.5,3.0,2.7,2.5,2.7,2.1,2.1
2004,2.3,2.6,2.9,3.3,3.9,3.2,3.8,2.9,3.0,3.1,2.5,2.7
2005,2.8,3.1,3.3,4.2,3.5,4.0,3.7,3.4,3.6,3.4,3.1,3.1
2006,3.3,3.4,4.1,4.9,4.2,3.7,3.9,3.8,3.7,3.9,3.6,3.1
2007,3.8,3.6,4.1,5.6,4.5,4.6,4.1,4.3,4.5,4.2,4.0,3.4
2008,4.4,3.7,3.6,3.8,4.6,3.4,3.7,3.0,2.8,3.1,2.3,2.0
2009,2.4,2.4,2.3,2.3,2.5,2.4,2.1,2.0,2.2,2.4,1.9,1.8
2010,2.4,2.4,2.5,3.5,3.0,3.1,3.2,2.6,2.4,3.1,2.5,2.3
2011,2.1,2.6,2.8,3.6,2.8,3.7,3.1,2.6,3.3,3.2,2.5,2.4
2012,3.0,2.4,3.0,3.5,3.5,3.6,3.1,2.8,2.9,2.8,2.9,2.6
2013,2.7,3.2,3.6,4.4,3.7,3.5,3.3,3.1,3.2,3.6,2.7,2.6
2014,3.9,3.8,3.3,5.1,4.3,4.5,4.7,4.4,4.2,4.5,3.2,3.0
2015,4.6,4.1,4.4,5.2,4.3,4.0,5.1,3.7,4.2,4.1,3.2,3.4
2016,3.8,3.7,4.7,6.1,5.0,5.0,5.1,4.3,4.1,4.2,3.9,3.5
2017,4.5,3.9,4.2,5.1,4.6,4.9,4.4,4.5,4.4,4.7,4.0,3.8
2018,4.3,4.5,4.3,5.6,5.3,5.3,5.5,4.9,5.0,5.2,4.3,4.4
2019,4.8,4.9,5.0,5.2,5.1,5.3,6.3,4.6,5.0,5.0,4.2,4.4
2020,4.6,4.8,4.3,5.7,4.8,4.5,5.2,4.3,4.3,4.8,4.4,4.7
2021,5.1,5.1,6.6,9.1,7.1,7.6,8.2,6.8,6.2,7.3,6.4,7.1
