Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.3,3.4,3.3,4.0,3.3,3.0,3.5,3.1,2.6,2.3,2.2,2.2
2002,3.1,2.0,2.3,2.6,2.2,2.2,2.6,2.4,2.2,3.0,2.4,1.8
2003,2.9,1.9,1.8,2.2,2.2,2.5,2.6,2.4,2.3,2.7,2.3,2.1
2004,2.3,2.2,3.0,2.7,2.8,2.3,2.8,2.5,2.6,3.2,2.4,2.5
2005,3.0,2.8,2.4,3.0,2.8,2.7,3.0,2.7,2.9,3.2,2.6,2.7
2006,3.3,3.3,3.3,3.8,3.2,3.1,3.2,3.2,3.1,3.3,2.8,2.8
2007,3.0,2.9,3.1,3.1,2.8,3.0,2.8,3.0,2.8,3.0,2.8,2.2
2008,3.1,2.5,2.3,2.5,2.6,2.4,2.9,2.9,2.4,2.8,2.2,1.9
2009,2.1,2.1,1.9,2.0,2.3,2.5,2.2,2.2,2.5,2.4,2.0,1.9
2010,2.7,2.0,2.2,3.1,2.8,2.5,3.1,3.0,2.7,3.5,2.5,1.9
2011,2.5,2.4,2.6,2.6,2.3,2.4,2.8,2.5,2.4,2.5,2.0,2.1
2012,2.6,2.5,2.7,2.5,2.5,2.5,2.6,2.9,2.4,2.8,2.5,2.3
2013,2.9,2.5,3.1,2.8,2.7,3.0,2.7,3.3,3.1,3.2,2.8,2.6
2014,2.8,3.0,3.2,3.4,3.5,3.6,3.5,4.4,3.4,4.1,3.4,3.5
2015,4.0,3.8,3.9,4.9,4.1,3.3,4.1,4.1,3.9,4.5,4.0,3.9
2016,3.9,3.5,3.8,3.8,3.8,3.6,4.4,4.0,4.2,4.2,3.6,3.9
2017,4.1,4.6,4.1,4.1,3.8,3.7,4.6,4.2,3.7,4.5,3.5,3.2
2018,3.9,3.6,3.8,4.3,4.2,4.0,4.5,4.3,4.6,4.8,5.0,4.6
2019,5.0,4.4,4.8,4.9,4.5,4.0,4.2,4.7,4.3,4.5,3.7,3.5
2020,4.3,4.5,3.6,4.1,3.7,4.1,5.0,4.2,4.2,4.9,4.4,3.7
2021,4.3,4.6,5.9,6.2,6.4,6.0,8.0,7.5,7.4,8.2,7.3,6.6
