Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.5,3.6,3.9,5.0,3.9,3.1,3.9,3.2,3.3,3.2,3.0,2.8
2002,3.6,2.3,2.5,3.1,2.6,2.7,3.4,3.0,3.0,3.1,2.8,2.2
2003,3.5,2.3,2.4,2.9,2.7,2.2,2.6,2.7,2.6,3.0,2.7,1.8
2004,2.3,2.6,2.6,3.1,3.0,2.4,3.1,3.1,3.7,3.9,2.6,2.3
2005,2.7,2.8,2.6,3.2,2.7,3.1,3.0,3.3,3.8,3.6,2.8,2.4
2006,3.2,2.8,2.7,3.5,2.7,3.3,3.6,4.1,3.8,4.3,3.3,3.0
2007,3.2,3.7,3.8,3.5,3.3,3.5,3.5,3.6,3.5,4.1,3.4,3.3
2008,4.3,3.2,3.3,3.2,2.8,2.6,3.0,3.0,2.4,2.7,2.7,2.1
2009,2.2,2.3,1.9,2.3,1.8,2.9,1.8,1.8,2.1,1.9,1.6,1.7
2010,2.1,2.3,2.5,3.0,2.5,2.3,2.9,2.8,2.4,2.9,2.2,2.0
2011,2.5,2.3,2.7,2.4,2.2,2.2,2.5,2.3,2.3,2.6,2.2,1.8
2012,2.0,2.2,2.3,3.2,2.4,2.3,2.7,2.5,2.1,2.8,2.1,2.0
2013,2.4,2.3,2.6,3.0,2.7,3.2,3.3,2.8,3.0,3.2,2.7,2.1
2014,2.6,3.0,3.0,3.1,3.2,3.3,2.8,3.3,3.3,3.1,2.7,2.1
2015,2.6,3.7,2.9,3.6,3.4,2.6,3.5,2.9,2.8,3.8,2.6,2.9
2016,3.6,3.4,3.5,3.5,3.5,3.0,3.9,3.5,4.0,3.7,3.3,2.9
2017,3.1,3.4,3.4,3.6,3.8,3.6,4.1,4.1,4.1,4.0,3.5,4.0
2018,3.9,3.5,4.1,4.6,4.5,4.3,4.7,4.6,5.4,4.4,4.2,3.8
2019,4.4,3.8,4.3,4.1,4.2,4.0,4.2,4.5,4.3,4.4,4.3,3.8
2020,4.4,4.3,3.5,4.2,4.2,4.9,5.1,4.4,5.1,5.5,5.2,4.9
2021,5.0,5.4,7.0,6.7,6.3,6.7,7.7,7.4,6.9,7.1,6.2,6.2
