Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.2,3.7,3.4,3.5,3.2,3.0,3.5,3.1,2.6,2.5,2.0,2.2
2002,2.6,2.5,2.5,2.8,2.3,2.1,2.6,2.5,2.2,2.4,1.9,1.8
2003,2.8,2.5,2.1,2.5,2.8,3.1,2.9,2.4,2.6,2.8,2.4,2.3
2004,2.7,2.7,2.8,3.3,2.6,2.6,3.1,2.8,3.0,3.1,2.7,2.8
2005,3.2,3.0,3.1,3.7,3.0,3.0,3.4,3.3,3.4,3.0,2.6,2.6
2006,3.1,2.6,3.3,4.0,3.3,3.1,3.7,3.2,3.5,3.6,2.9,3.2
2007,3.2,2.9,3.2,3.9,3.1,3.1,3.7,3.1,3.1,3.7,3.1,2.7
2008,3.5,3.1,3.2,3.5,3.4,3.2,3.1,2.9,2.7,2.8,2.6,2.2
2009,2.1,2.3,2.0,2.1,2.3,1.6,1.5,1.4,1.5,1.8,1.6,1.5
2010,2.0,1.7,1.6,2.5,2.4,1.7,2.1,1.9,1.9,2.1,1.8,1.5
2011,1.9,2.1,2.3,2.5,1.8,2.4,2.7,2.4,2.5,3.4,2.3,2.4
2012,2.5,2.3,2.7,2.9,2.8,2.8,3.4,3.0,3.0,2.8,2.2,2.3
2013,3.2,2.8,3.1,3.8,3.3,3.7,3.3,3.2,3.2,3.1,2.7,2.8
2014,3.1,2.9,3.2,3.3,3.4,3.2,3.2,3.7,3.2,3.7,3.0,3.0
2015,3.7,3.5,3.7,4.4,4.2,3.2,4.5,4.1,4.7,4.6,3.5,3.8
2016,5.0,4.2,4.5,4.2,3.8,4.0,4.6,3.7,4.4,4.0,3.4,3.3
2017,3.9,4.0,4.1,4.8,4.3,5.0,5.2,4.4,4.4,5.0,4.3,3.8
2018,4.6,4.5,4.6,5.5,5.4,5.2,4.9,5.2,5.2,5.6,5.6,5.2
2019,5.9,5.8,6.1,6.3,5.7,5.5,5.9,6.0,5.8,6.9,5.1,4.7
2020,4.7,4.5,3.7,4.0,4.1,4.5,5.1,4.5,5.0,5.6,4.2,4.5
2021,6.2,5.8,6.3,6.9,5.9,7.5,7.7,7.5,6.9,7.4,6.8,7.6
