Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.0,3.5,3.4,3.5,3.1,3.3,3.4,2.9,2.6,2.7,2.3,1.8
2002,3.1,2.2,2.1,2.6,2.3,2.4,2.6,3.3,2.8,2.7,2.1,1.6
2003,3.4,2.0,2.1,2.4,2.5,2.4,2.4,2.7,2.6,2.5,1.9,2.1
2004,3.3,2.6,2.7,2.7,3.5,2.5,3.7,2.8,3.4,3.1,2.3,2.6
2005,3.3,2.8,3.0,3.3,2.7,3.2,3.7,3.5,3.8,3.2,2.9,2.6
2006,3.0,3.2,3.4,3.5,3.2,2.8,3.3,3.6,3.8,3.6,3.1,2.8
2007,4.6,3.3,3.5,4.0,4.1,4.1,4.0,4.0,4.3,3.9,3.8,2.7
2008,3.6,3.0,3.2,2.9,3.3,2.5,3.1,2.6,2.9,3.0,2.0,1.7
2009,2.3,2.0,2.1,2.2,2.5,2.4,2.1,2.1,2.7,2.2,1.8,1.7
2010,2.2,2.4,2.1,2.8,2.3,2.1,2.5,2.6,2.3,2.4,2.3,1.9
2011,2.0,2.3,2.3,2.8,2.5,2.6,2.8,2.6,3.3,2.8,2.1,2.1
2012,2.4,2.2,2.5,2.9,3.4,2.9,2.8,2.3,2.5,2.5,2.2,2.1
2013,2.9,2.6,3.1,3.2,3.1,2.4,3.1,2.9,3.1,3.0,2.7,2.3
2014,3.5,3.2,3.1,3.6,3.2,3.1,3.9,3.8,3.8,3.7,3.0,3.2
2015,3.6,3.6,3.5,4.2,3.4,3.6,4.5,3.6,4.0,4.3,3.6,3.1
2016,3.7,3.6,3.9,4.8,4.4,3.7,4.8,4.2,4.2,3.9,3.7,3.0
2017,3.6,3.6,3.5,4.4,3.7,4.5,5.3,4.7,4.8,4.9,3.9,3.5
2018,4.5,4.0,3.9,4.3,4.4,4.6,5.6,5.3,5.5,5.5,4.5,4.4
2019,5.3,4.3,4.8,4.9,4.6,5.3,5.4,4.9,5.3,5.6,4.3,5.0
2020,5.3,5.3,4.5,4.3,3.7,4.3,5.6,5.4,5.5,5.3,5.1,4.2
2021,5.7,5.8,6.2,6.5,6.4,7.1,9.4,7.8,7.3,7.4,6.1,6.7
