Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.1,3.6,3.3,3.7,3.3,3.1,3.6,3.0,2.9,2.9,2.5,2.2
2002,3.0,2.4,2.6,2.9,2.6,2.5,2.8,2.7,2.4,2.8,2.3,1.9
2003,2.8,2.3,2.2,2.7,2.5,2.5,2.5,2.5,2.3,2.6,2.2,2.1
2004,2.7,2.5,2.5,2.9,2.8,2.4,3.1,2.7,2.8,3.0,2.3,2.5
2005,2.9,2.8,2.9,3.4,2.8,2.9,3.3,3.1,3.1,3.1,2.8,2.7
2006,3.3,3.0,3.3,3.8,3.2,3.2,3.4,3.4,3.3,3.4,3.0,2.9
2007,3.4,3.2,3.4,3.6,3.3,3.3,3.4,3.3,3.3,3.4,3.0,2.8
2008,3.3,2.9,2.9,3.1,3.0,2.6,2.8,2.7,2.3,2.5,2.1,2.0
2009,2.1,2.0,1.8,1.9,1.9,1.8,1.8,1.8,1.9,2.0,1.7,1.6
2010,2.2,1.9,2.0,2.6,2.3,2.0,2.4,2.3,2.2,2.6,2.2,1.9
2011,2.3,2.3,2.4,2.6,2.4,2.5,2.8,2.5,2.8,2.9,2.4,2.4
2012,2.9,2.6,2.9,3.0,2.8,2.7,2.9,2.9,2.8,3.0,2.6,2.4
2013,2.8,2.8,2.9,3.1,3.0,2.9,2.9,3.0,3.0,3.2,2.6,2.5
2014,2.9,3.0,3.1,3.5,3.3,3.4,3.6,3.8,3.4,3.7,3.1,3.1
2015,3.6,3.6,3.6,4.2,3.8,3.5,4.3,3.8,3.8,4.1,3.5,3.4
2016,4.0,3.8,4.1,4.2,3.8,3.7,4.3,3.9,3.9,3.9,3.6,3.5
2017,3.7,3.8,3.8,4.4,3.8,4.0,4.3,4.2,4.2,4.3,3.8,3.7
2018,4.3,4.1,4.4,4.8,4.5,4.6,4.9,4.7,4.8,4.8,4.5,4.3
2019,4.8,4.3,4.6,4.9,4.6,4.5,4.7,4.6,4.5,4.8,4.0,3.8
2020,4.5,4.2,3.7,3.8,3.9,4.1,4.9,4.5,4.5,4.9,4.2,4.1
2021,4.9,5.0,5.5,6.4,6.2,6.3,7.3,6.9,6.8,7.2,6.4,6.4
